Date : 2023-12-19 12:53:48
Directory : c:\Users\29032\Desktop\daershang\database
Total : 1521 files,  294900 codes, 91895 comments, 38805 blanks, all 425600 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\config\tcpdf_config.php                                            | PHP                |         29 |        159 |         40 |        228 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\fonts\dejavusans.php                                               | PHP                |         14 |          2 |          1 |         17 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\fonts\dejavusansb.php                                              | PHP                |         14 |          2 |          1 |         17 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\fonts\helvetica.php                                                | PHP                |         10 |          2 |          2 |         14 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\barcodes\datamatrix.php                                    | PHP                |        772 |        363 |         42 |      1,177 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\barcodes\pdf417.php                                        | PHP                |        740 |        231 |         26 |        997 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\barcodes\qrcode.php                                        | PHP                |      1,694 |        964 |        210 |      2,868 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_colors.php                                           | PHP                |        326 |        123 |         14 |        463 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_filters.php                                          | PHP                |        235 |        224 |         23 |        482 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_font_data.php                                        | PHP                |     18,264 |        139 |         45 |     18,448 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_fonts.php                                            | PHP                |      1,961 |        588 |        105 |      2,654 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_images.php                                           | PHP                |        202 |        146 |         13 |        361 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\include\tcpdf_static.php                                           | PHP                |      1,763 |        775 |         79 |      2,617 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf.php                                                          | PHP                |     17,002 |      6,829 |        682 |     24,513 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf_autoconfig.php                                               | PHP                |        156 |         46 |         40 |        242 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf_barcodes_1d.php                                              | PHP                |      1,884 |        433 |         41 |      2,358 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf_barcodes_2d.php                                              | PHP                |        201 |        135 |         14 |        350 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf_import.php                                                   | PHP                |         25 |         68 |         12 |        105 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\tecnickcom\tcpdf\tcpdf_parser.php                                                   | PHP                |        532 |        261 |         23 |        816 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\.travis.yml                                                         | YAML               |         27 |          0 |          8 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\README.rst                                                          | reStructuredText   |          8 |          1 |          6 |         15 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\composer.json                                                       | JSON               |         32 |          0 |          1 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Autoloader.php                                  | PHP                |         18 |         25 |          6 |         49 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Extension\Array.php                             | PHP                |         24 |         24 |          9 |         57 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Extension\Date.php                              | PHP                |         57 |         33 |         18 |        108 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Extension\I18n.php                              | PHP                |         19 |         17 |          6 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Extension\Intl.php                              | PHP                |         97 |         24 |         26 |        147 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Extension\Text.php                              | PHP                |         64 |         18 |         18 |        100 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar.php                                     | PHP                |         18 |         20 |          6 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\GrammarInterface.php                            | PHP                |          7 |         11 |          5 |         23 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Arguments.php                           | PHP                |         12 |         11 |          4 |         27 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Array.php                               | PHP                |         12 |         11 |          4 |         27 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Body.php                                | PHP                |         24 |         11 |          9 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Boolean.php                             | PHP                |         13 |         11 |          5 |         29 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Constant.php                            | PHP                |         23 |         11 |          8 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Expression.php                          | PHP                |         12 |         11 |          4 |         27 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Hash.php                                | PHP                |         12 |         11 |          4 |         27 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Number.php                              | PHP                |         13 |         11 |          5 |         29 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Optional.php                            | PHP                |         49 |         13 |         12 |         74 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Switch.php                              | PHP                |         13 |         11 |          5 |         29 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Grammar\Tag.php                                 | PHP                |         39 |         11 |         11 |         61 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\Node\Trans.php                                  | PHP                |        115 |         27 |         25 |        167 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\SimpleTokenParser.php                           | PHP                |         91 |         29 |         19 |        139 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\lib\Twig\Extensions\TokenParser\Trans.php                           | PHP                |         60 |         14 |         15 |         89 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\ArrayExtension.php                                              | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\DateExtension.php                                               | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\I18nExtension.php                                               | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\IntlExtension.php                                               | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\Node\TransNode.php                                              | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\TextExtension.php                                               | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\extensions\src\TokenParser\TransTokenParser.php                                | PHP                |          8 |          0 |          4 |         12 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\.travis.yml                                                               | YAML               |         34 |          1 |         10 |         45 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\README.rst                                                                | reStructuredText   |          9 |          1 |          6 |         16 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\composer.json                                                             | JSON               |         51 |          0 |          1 |         52 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\ext\twig\php_twig.h                                                       | C++                |         15 |         13 |          8 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\ext\twig\twig.c                                                           | C                  |        860 |        201 |        157 |      1,218 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Autoloader.php                                                   | PHP                |         19 |         25 |          7 |         51 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\BaseNodeVisitor.php                                              | PHP                |         23 |         23 |          9 |         55 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\CacheInterface.php                                               | PHP                |          9 |         43 |          7 |         59 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Cache\Filesystem.php                                             | PHP                |         58 |         18 |         16 |         92 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Cache\Null.php                                                   | PHP                |         19 |         15 |          7 |         41 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Compiler.php                                                     | PHP                |        149 |         96 |         42 |        287 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\CompilerInterface.php                                            | PHP                |          6 |         25 |          4 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\ContainerRuntimeLoader.php                                       | PHP                |         17 |         16 |          7 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Environment.php                                                  | PHP                |        870 |        534 |        214 |      1,618 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Error.php                                                        | PHP                |        176 |        109 |         49 |        334 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Error\Loader.php                                                 | PHP                |         11 |         21 |          5 |         37 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Error\Runtime.php                                                | PHP                |          5 |         14 |          4 |         23 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Error\Syntax.php                                                 | PHP                |         24 |         25 |          7 |         56 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\ExistsLoaderInterface.php                                        | PHP                |          6 |         22 |          4 |         32 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\ExpressionParser.php                                             | PHP                |        569 |         45 |        131 |        745 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension.php                                                    | PHP                |         41 |         17 |         12 |         70 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\ExtensionInterface.php                                           | PHP                |         15 |         64 |         12 |         91 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Core.php                                               | PHP                |        919 |        511 |        218 |      1,648 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Debug.php                                              | PHP                |         42 |         15 |         11 |         68 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Escaper.php                                            | PHP                |         54 |         41 |         18 |        113 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\GlobalsInterface.php                                   | PHP                |          5 |         16 |          4 |         25 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\InitRuntimeInterface.php                               | PHP                |          5 |         16 |          4 |         25 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Optimizer.php                                          | PHP                |         18 |         11 |          7 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Profiler.php                                           | PHP                |         32 |          8 |         10 |         50 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Sandbox.php                                            | PHP                |         74 |         11 |         19 |        104 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\Staging.php                                            | PHP                |         75 |         17 |         21 |        113 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Extension\StringLoader.php                                       | PHP                |         19 |         23 |          6 |         48 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FactoryRuntimeLoader.php                                         | PHP                |         17 |         16 |          7 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FileExtensionEscapingStrategy.php                                | PHP                |         25 |         26 |         10 |         61 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Filter.php                                                       | PHP                |         54 |         17 |         14 |         85 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FilterCallableInterface.php                                      | PHP                |          5 |         17 |          3 |         25 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FilterInterface.php                                              | PHP                |         12 |         22 |         10 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Filter\Function.php                                              | PHP                |         16 |         17 |          8 |         41 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Filter\Method.php                                                | PHP                |         18 |         17 |          8 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Filter\Node.php                                                  | PHP                |         18 |         17 |          8 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Function.php                                                     | PHP                |         45 |         17 |         13 |         75 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FunctionCallableInterface.php                                    | PHP                |          5 |         17 |          3 |         25 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\FunctionInterface.php                                            | PHP                |         10 |         23 |          8 |         41 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Function\Function.php                                            | PHP                |         16 |         18 |          8 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Function\Method.php                                              | PHP                |         18 |         18 |          8 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Function\Node.php                                                | PHP                |         18 |         17 |          8 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Lexer.php                                                        | PHP                |        330 |         38 |         60 |        428 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\LexerInterface.php                                               | PHP                |          5 |         25 |          3 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\LoaderInterface.php                                              | PHP                |          8 |         44 |          6 |         58 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Loader\Array.php                                                 | PHP                |         51 |         31 |         16 |         98 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Loader\Chain.php                                                 | PHP                |        107 |         18 |         27 |        152 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Loader\Filesystem.php                                            | PHP                |        188 |         56 |         55 |        299 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Loader\String.php                                                | PHP                |         26 |         24 |          9 |         59 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Markup.php                                                       | PHP                |         20 |         13 |          7 |         40 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node.php                                                         | PHP                |        160 |         53 |         44 |        257 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeCaptureInterface.php                                         | PHP                |          5 |         13 |          4 |         22 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeInterface.php                                                | PHP                |          7 |         21 |          5 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeOutputInterface.php                                          | PHP                |          5 |         13 |          4 |         22 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeTraverser.php                                                | PHP                |         48 |         26 |         13 |         87 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeVisitorInterface.php                                         | PHP                |         10 |         30 |          6 |         46 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeVisitor\Escaper.php                                          | PHP                |        110 |         15 |         30 |        155 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeVisitor\Optimizer.php                                        | PHP                |        164 |         52 |         38 |        254 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeVisitor\SafeAnalysis.php                                     | PHP                |        114 |         18 |         19 |        151 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\NodeVisitor\Sandbox.php                                          | PHP                |         48 |         20 |         15 |         83 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\AutoEscape.php                                              | PHP                |         13 |         19 |          5 |         37 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Block.php                                                   | PHP                |         22 |         14 |          6 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\BlockReference.php                                          | PHP                |         16 |         14 |          5 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Body.php                                                    | PHP                |          5 |         13 |          4 |         22 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\CheckSecurity.php                                           | PHP                |         62 |         11 |          8 |         81 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Deprecated.php                                              | PHP                |         29 |         13 |          8 |         50 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Do.php                                                      | PHP                |         18 |         13 |          5 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Embed.php                                                   | PHP                |         26 |         15 |          6 |         47 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression.php                                              | PHP                |          5 |         14 |          4 |         23 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Array.php                                        | PHP                |         60 |         10 |         14 |         84 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\AssignName.php                                   | PHP                |         13 |          9 |          4 |         26 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary.php                                       | PHP                |         24 |          9 |          5 |         38 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Add.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\And.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\BitwiseAnd.php                            | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\BitwiseOr.php                             | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\BitwiseXor.php                            | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Concat.php                                | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Div.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\EndsWith.php                              | PHP                |         21 |          8 |          4 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Equal.php                                 | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\FloorDiv.php                              | PHP                |         15 |          8 |          4 |         27 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Greater.php                               | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\GreaterEqual.php                          | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\In.php                                    | PHP                |         19 |          8 |          4 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Less.php                                  | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\LessEqual.php                             | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Matches.php                               | PHP                |         19 |          8 |          4 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Mod.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Mul.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\NotEqual.php                              | PHP                |          9 |          8 |          3 |         20 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\NotIn.php                                 | PHP                |         19 |          8 |          4 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Or.php                                    | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Power.php                                 | PHP                |         22 |          8 |          5 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Range.php                                 | PHP                |         19 |          8 |          4 |         31 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\StartsWith.php                            | PHP                |         21 |          8 |          4 |         33 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Binary\Sub.php                                   | PHP                |          9 |          9 |          3 |         21 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\BlockReference.php                               | PHP                |         62 |         17 |         15 |         94 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Call.php                                         | PHP                |        245 |         10 |         39 |        294 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\vendor\twig\twig\lib\Twig\Node\Expression\Conditional.php                                  | PHP                |         21 |          9 |          4 |         34 |
